Font,Color Combination,Lens,Distance to Screen,Screen Brightness,Horizontal Angle,Vertical Angle,Exposure Time,Size,Unprocessed Accuracy,Processed Accuracy
1,0,daheng_6mm,35,100,60,0,100,Big,1.0,1.0
1,0,daheng_6mm,35,100,60,0,100,Medium,1.0,0.5333333333333333
1,0,daheng_6mm,35,100,60,0,100,Small,0.5,0.0
1,1,daheng_6mm,35,100,60,0,100,Big,1.0,1.0
1,1,daheng_6mm,35,100,60,0,100,Medium,1.0,1.0
1,1,daheng_6mm,35,100,60,0,100,Small,0.0,0.0
1,2,daheng_6mm,35,100,60,0,100,Big,0.0,1.0
1,2,daheng_6mm,35,100,60,0,100,Medium,0.0,0.8333333333333334
1,2,daheng_6mm,35,100,60,0,100,Small,0.0,0.0
1,3,daheng_6mm,35,100,60,0,100,Big,1.0,1.0
1,3,daheng_6mm,35,100,60,0,100,Medium,1.0,1.0
1,3,daheng_6mm,35,100,60,0,100,Small,0.0,0.0
2,0,daheng_6mm,35,100,60,0,100,Big,1.0,1.0
2,0,daheng_6mm,35,100,60,0,100,Medium,0.7,0.7
2,0,daheng_6mm,35,100,60,0,100,Small,0.0,0.0
2,1,daheng_6mm,35,100,60,0,100,Big,1.0,1.0
2,1,daheng_6mm,35,100,60,0,100,Medium,0.23333333333333334,0.0
2,1,daheng_6mm,35,100,60,0,100,Small,0.0,0.0
2,2,daheng_6mm,35,100,60,0,100,Big,0.0,1.0
2,2,daheng_6mm,35,100,60,0,100,Medium,0.0,0.0
2,2,daheng_6mm,35,100,60,0,100,Small,0.0,0.0
2,3,daheng_6mm,35,100,60,0,100,Big,0.8666666666666667,0.9
2,3,daheng_6mm,35,100,60,0,100,Medium,0.8666666666666667,0.9666666666666667
2,3,daheng_6mm,35,100,60,0,100,Small,0.0,0.0
4,0,daheng_6mm,35,100,60,0,100,Big,0.0,0.9666666666666667
4,0,daheng_6mm,35,100,60,0,100,Medium,0.4,0.6333333333333333
4,0,daheng_6mm,35,100,60,0,100,Small,0.0,0.0
4,1,daheng_6mm,35,100,60,0,100,Big,0.9666666666666667,0.9666666666666667
4,1,daheng_6mm,35,100,60,0,100,Medium,0.06666666666666667,0.5666666666666667
4,1,daheng_6mm,35,100,60,0,100,Small,0.0,0.0
4,2,daheng_6mm,35,100,60,0,100,Big,0.0,0.2
4,2,daheng_6mm,35,100,60,0,100,Medium,0.0,0.0
4,2,daheng_6mm,35,100,60,0,100,Small,0.0,0.0
4,3,daheng_6mm,35,100,60,0,100,Big,0.0,1.0
4,3,daheng_6mm,35,100,60,0,100,Medium,0.0,0.43333333333333335
4,3,daheng_6mm,35,100,60,0,100,Small,0.0,0.0
0,0,daheng_6mm,35,100,60,45,100,Big,1.0,1.0
0,0,daheng_6mm,35,100,60,45,100,Medium,1.0,0.9333333333333333
0,0,daheng_6mm,35,100,60,45,100,Small,0.7,0.36666666666666664
0,1,daheng_6mm,35,100,60,45,100,Big,1.0,1.0
0,1,daheng_6mm,35,100,60,45,100,Medium,1.0,1.0
0,1,daheng_6mm,35,100,60,45,100,Small,0.0,0.0
0,2,daheng_6mm,35,100,60,45,100,Big,0.0,1.0
0,2,daheng_6mm,35,100,60,45,100,Medium,0.0,0.9666666666666667
0,2,daheng_6mm,35,100,60,45,100,Small,0.0,0.0
0,3,daheng_6mm,35,100,60,45,100,Big,1.0,1.0
0,3,daheng_6mm,35,100,60,45,100,Medium,0.8666666666666667,1.0
0,3,daheng_6mm,35,100,60,45,100,Small,0.0,0.0
1,0,daheng_6mm,35,100,60,45,100,Big,1.0,1.0
1,0,daheng_6mm,35,100,60,45,100,Medium,1.0,0.9333333333333333
1,0,daheng_6mm,35,100,60,45,100,Small,1.0,0.43333333333333335
1,1,daheng_6mm,35,100,60,45,100,Big,1.0,1.0
1,1,daheng_6mm,35,100,60,45,100,Medium,1.0,1.0
1,1,daheng_6mm,35,100,60,45,100,Small,0.0,0.0
1,2,daheng_6mm,35,100,60,45,100,Big,0.0,1.0
1,2,daheng_6mm,35,100,60,45,100,Medium,0.0,1.0
1,2,daheng_6mm,35,100,60,45,100,Small,0.0,0.0
1,3,daheng_6mm,35,100,60,45,100,Big,1.0,1.0
1,3,daheng_6mm,35,100,60,45,100,Medium,1.0,1.0
1,3,daheng_6mm,35,100,60,45,100,Small,0.06666666666666667,0.3333333333333333
2,0,daheng_6mm,35,100,60,45,100,Big,1.0,1.0
2,0,daheng_6mm,35,100,60,45,100,Medium,1.0,1.0
2,0,daheng_6mm,35,100,60,45,100,Small,0.26666666666666666,0.2
2,1,daheng_6mm,35,100,60,45,100,Big,1.0,1.0
2,1,daheng_6mm,35,100,60,45,100,Medium,1.0,1.0
2,1,daheng_6mm,35,100,60,45,100,Small,0.0,0.0
2,2,daheng_6mm,35,100,60,45,100,Big,0.0,1.0
2,2,daheng_6mm,35,100,60,45,100,Medium,0.0,0.8666666666666667
2,2,daheng_6mm,35,100,60,45,100,Small,0.0,0.0
2,3,daheng_6mm,35,100,60,45,100,Big,0.9,0.9
2,3,daheng_6mm,35,100,60,45,100,Medium,1.0,1.0
2,3,daheng_6mm,35,100,60,45,100,Small,0.3,0.7666666666666667
4,0,daheng_6mm,35,100,60,45,100,Big,0.26666666666666666,0.8666666666666667
4,0,daheng_6mm,35,100,60,45,100,Medium,0.06666666666666667,0.3333333333333333
4,0,daheng_6mm,35,100,60,45,100,Small,0.0,0.0
4,1,daheng_6mm,35,100,60,45,100,Big,0.0,0.9
4,1,daheng_6mm,35,100,60,45,100,Medium,0.0,0.3
4,1,daheng_6mm,35,100,60,45,100,Small,0.0,0.0
4,2,daheng_6mm,35,100,60,45,100,Big,0.0,1.0
4,2,daheng_6mm,35,100,60,45,100,Medium,0.0,0.6
4,2,daheng_6mm,35,100,60,45,100,Small,0.0,0.0
4,3,daheng_6mm,35,100,60,45,100,Big,0.0,1.0
4,3,daheng_6mm,35,100,60,45,100,Medium,0.0,1.0
4,3,daheng_6mm,35,100,60,45,100,Small,0.0,0.0
0,0,daheng_6mm,35,100,60,60,100,Big,1.0,1.0
0,0,daheng_6mm,35,100,60,60,100,Medium,0.9333333333333333,0.13333333333333333
0,0,daheng_6mm,35,100,60,60,100,Small,0.5333333333333333,0.0
0,1,daheng_6mm,35,100,60,60,100,Big,1.0,1.0
0,1,daheng_6mm,35,100,60,60,100,Medium,0.26666666666666666,0.5
0,1,daheng_6mm,35,100,60,60,100,Small,0.0,0.0
0,2,daheng_6mm,35,100,60,60,100,Big,0.0,1.0
0,2,daheng_6mm,35,100,60,60,100,Medium,0.0,0.0
0,2,daheng_6mm,35,100,60,60,100,Small,0.0,0.0
0,3,daheng_6mm,35,100,60,60,100,Big,1.0,1.0
0,3,daheng_6mm,35,100,60,60,100,Medium,0.16666666666666666,0.6
0,3,daheng_6mm,35,100,60,60,100,Small,0.0,0.0
1,0,daheng_6mm,35,100,60,60,100,Big,1.0,0.9666666666666667
1,0,daheng_6mm,35,100,60,60,100,Medium,1.0,0.1
1,0,daheng_6mm,35,100,60,60,100,Small,0.1,0.0
1,1,daheng_6mm,35,100,60,60,100,Big,1.0,1.0
1,1,daheng_6mm,35,100,60,60,100,Medium,1.0,0.5333333333333333
1,1,daheng_6mm,35,100,60,60,100,Small,0.0,0.0
1,2,daheng_6mm,35,100,60,60,100,Big,0.0,0.8666666666666667
1,2,daheng_6mm,35,100,60,60,100,Medium,0.0,0.0
1,2,daheng_6mm,35,100,60,60,100,Small,0.0,0.0
1,3,daheng_6mm,35,100,60,60,100,Big,1.0,1.0
1,3,daheng_6mm,35,100,60,60,100,Medium,0.9,1.0
1,3,daheng_6mm,35,100,60,60,100,Small,0.0,0.0
2,0,daheng_6mm,35,100,60,60,100,Big,1.0,0.3
2,0,daheng_6mm,35,100,60,60,100,Medium,0.7,0.03333333333333333
2,0,daheng_6mm,35,100,60,60,100,Small,0.8666666666666667,0.0
2,1,daheng_6mm,35,100,60,60,100,Big,1.0,1.0
2,1,daheng_6mm,35,100,60,60,100,Medium,0.0,0.06666666666666667
2,1,daheng_6mm,35,100,60,60,100,Small,0.0,0.0
2,2,daheng_6mm,35,100,60,60,100,Big,0.0,0.9333333333333333
2,2,daheng_6mm,35,100,60,60,100,Medium,0.0,0.0
2,2,daheng_6mm,35,100,60,60,100,Small,0.0,0.0
2,3,daheng_6mm,35,100,60,60,100,Big,0.8,0.9333333333333333
2,3,daheng_6mm,35,100,60,60,100,Medium,0.7333333333333333,0.9
2,3,daheng_6mm,35,100,60,60,100,Small,0.0,0.0
4,0,daheng_6mm,35,100,60,60,100,Big,0.0,0.9333333333333333
4,0,daheng_6mm,35,100,60,60,100,Medium,0.0,0.1
4,0,daheng_6mm,35,100,60,60,100,Small,0.0,0.0
4,1,daheng_6mm,35,100,60,60,100,Big,0.0,0.9
4,1,daheng_6mm,35,100,60,60,100,Medium,0.0,0.0
4,1,daheng_6mm,35,100,60,60,100,Small,0.0,0.0
4,2,daheng_6mm,35,100,60,60,100,Big,0.0,0.5666666666666667
4,2,daheng_6mm,35,100,60,60,100,Medium,0.0,0.0
4,2,daheng_6mm,35,100,60,60,100,Small,0.0,0.0
4,3,daheng_6mm,35,100,60,60,100,Big,0.0,1.0
4,3,daheng_6mm,35,100,60,60,100,Medium,0.0,0.9
4,3,daheng_6mm,35,100,60,60,100,Small,0.0,0.0
0,0,daheng_6mm,35,50,0,0,100,Big,1.0,1.0
0,0,daheng_6mm,35,50,0,0,100,Medium,1.0,1.0
0,0,daheng_6mm,35,50,0,0,100,Small,1.0,1.0
0,1,daheng_6mm,35,50,0,0,100,Big,1.0,1.0
0,1,daheng_6mm,35,50,0,0,100,Medium,1.0,1.0
0,1,daheng_6mm,35,50,0,0,100,Small,0.36666666666666664,0.9333333333333333
0,2,daheng_6mm,35,50,0,0,100,Big,0.0,1.0
0,2,daheng_6mm,35,50,0,0,100,Medium,0.0,1.0
0,2,daheng_6mm,35,50,0,0,100,Small,0.0,0.9333333333333333
0,3,daheng_6mm,35,50,0,0,100,Big,1.0,1.0
0,3,daheng_6mm,35,50,0,0,100,Medium,1.0,1.0
0,3,daheng_6mm,35,50,0,0,100,Small,1.0,1.0
1,0,daheng_6mm,35,50,0,0,100,Big,1.0,1.0
1,0,daheng_6mm,35,50,0,0,100,Medium,1.0,1.0
1,0,daheng_6mm,35,50,0,0,100,Small,0.9,1.0
1,1,daheng_6mm,35,50,0,0,100,Big,1.0,1.0
1,1,daheng_6mm,35,50,0,0,100,Medium,1.0,1.0
1,1,daheng_6mm,35,50,0,0,100,Small,1.0,1.0
1,2,daheng_6mm,35,50,0,0,100,Big,0.0,1.0
1,2,daheng_6mm,35,50,0,0,100,Medium,0.0,1.0
1,2,daheng_6mm,35,50,0,0,100,Small,0.0,1.0
1,3,daheng_6mm,35,50,0,0,100,Big,1.0,1.0
1,3,daheng_6mm,35,50,0,0,100,Medium,1.0,1.0
1,3,daheng_6mm,35,50,0,0,100,Small,1.0,1.0
2,0,daheng_6mm,35,50,0,0,100,Big,1.0,0.9
2,0,daheng_6mm,35,50,0,0,100,Medium,1.0,1.0
2,0,daheng_6mm,35,50,0,0,100,Small,1.0,1.0
2,1,daheng_6mm,35,50,0,0,100,Big,1.0,1.0
2,1,daheng_6mm,35,50,0,0,100,Medium,1.0,1.0
2,1,daheng_6mm,35,50,0,0,100,Small,1.0,1.0
2,2,daheng_6mm,35,50,0,0,100,Big,0.0,1.0
2,2,daheng_6mm,35,50,0,0,100,Medium,0.0,1.0
2,2,daheng_6mm,35,50,0,0,100,Small,0.0,0.9666666666666667
2,3,daheng_6mm,35,50,0,0,100,Big,1.0,1.0
2,3,daheng_6mm,35,50,0,0,100,Medium,1.0,1.0
2,3,daheng_6mm,35,50,0,0,100,Small,1.0,1.0
4,0,daheng_6mm,35,50,0,0,100,Big,0.5,0.8666666666666667
4,0,daheng_6mm,35,50,0,0,100,Medium,0.7333333333333333,1.0
4,0,daheng_6mm,35,50,0,0,100,Small,0.4666666666666667,0.6666666666666666
4,1,daheng_6mm,35,50,0,0,100,Big,0.06666666666666667,0.0
4,1,daheng_6mm,35,50,0,0,100,Medium,0.5,0.26666666666666666
4,1,daheng_6mm,35,50,0,0,100,Small,0.03333333333333333,0.0
4,2,daheng_6mm,35,50,0,0,100,Big,0.0,1.0
4,2,daheng_6mm,35,50,0,0,100,Medium,0.0,0.9
4,2,daheng_6mm,35,50,0,0,100,Small,0.03333333333333333,0.43333333333333335
4,3,daheng_6mm,35,50,0,0,100,Big,0.0,1.0
4,3,daheng_6mm,35,50,0,0,100,Medium,0.0,1.0
4,3,daheng_6mm,35,50,0,0,100,Small,0.0,0.7333333333333333
0,0,daheng_6mm,35,50,0,45,100,Big,1.0,1.0
0,0,daheng_6mm,35,50,0,45,100,Medium,1.0,1.0
0,0,daheng_6mm,35,50,0,45,100,Small,0.7666666666666667,0.36666666666666664
0,1,daheng_6mm,35,50,0,45,100,Big,1.0,1.0
0,1,daheng_6mm,35,50,0,45,100,Medium,1.0,1.0
0,1,daheng_6mm,35,50,0,45,100,Small,0.1,0.26666666666666666
0,2,daheng_6mm,35,50,0,45,100,Big,0.0,1.0
0,2,daheng_6mm,35,50,0,45,100,Medium,0.0,1.0
0,2,daheng_6mm,35,50,0,45,100,Small,0.0,0.5333333333333333
0,3,daheng_6mm,35,50,0,45,100,Big,1.0,1.0
0,3,daheng_6mm,35,50,0,45,100,Medium,1.0,1.0
0,3,daheng_6mm,35,50,0,45,100,Small,0.0,0.0
1,0,daheng_6mm,35,50,0,45,100,Big,1.0,1.0
1,0,daheng_6mm,35,50,0,45,100,Medium,1.0,1.0
1,0,daheng_6mm,35,50,0,45,100,Small,0.9333333333333333,0.2
1,1,daheng_6mm,35,50,0,45,100,Big,1.0,1.0
1,1,daheng_6mm,35,50,0,45,100,Medium,1.0,1.0
1,1,daheng_6mm,35,50,0,45,100,Small,0.0,0.6
1,2,daheng_6mm,35,50,0,45,100,Big,0.0,1.0
1,2,daheng_6mm,35,50,0,45,100,Medium,0.0,1.0
1,2,daheng_6mm,35,50,0,45,100,Small,0.0,0.06666666666666667
1,3,daheng_6mm,35,50,0,45,100,Big,1.0,1.0
1,3,daheng_6mm,35,50,0,45,100,Medium,1.0,1.0
1,3,daheng_6mm,35,50,0,45,100,Small,0.0,1.0
2,0,daheng_6mm,35,50,0,45,100,Big,0.9666666666666667,0.9
2,0,daheng_6mm,35,50,0,45,100,Medium,1.0,1.0
2,0,daheng_6mm,35,50,0,45,100,Small,0.9666666666666667,0.1
2,1,daheng_6mm,35,50,0,45,100,Big,1.0,1.0
2,1,daheng_6mm,35,50,0,45,100,Medium,1.0,1.0
2,1,daheng_6mm,35,50,0,45,100,Small,0.7,0.8666666666666667
2,2,daheng_6mm,35,50,0,45,100,Big,0.0,1.0
2,2,daheng_6mm,35,50,0,45,100,Medium,0.0,1.0
2,2,daheng_6mm,35,50,0,45,100,Small,0.0,0.8666666666666667
2,3,daheng_6mm,35,50,0,45,100,Big,1.0,1.0
2,3,daheng_6mm,35,50,0,45,100,Medium,0.06666666666666667,1.0
2,3,daheng_6mm,35,50,0,45,100,Small,0.0,0.03333333333333333
4,0,daheng_6mm,35,50,0,45,100,Big,0.4,0.6
4,0,daheng_6mm,35,50,0,45,100,Medium,0.03333333333333333,0.9666666666666667
4,0,daheng_6mm,35,50,0,45,100,Small,0.03333333333333333,0.3333333333333333
4,1,daheng_6mm,35,50,0,45,100,Big,0.5,0.13333333333333333
4,1,daheng_6mm,35,50,0,45,100,Medium,0.3333333333333333,0.8
4,1,daheng_6mm,35,50,0,45,100,Small,0.1,0.5
4,2,daheng_6mm,35,50,0,45,100,Big,0.0,0.7666666666666667
4,2,daheng_6mm,35,50,0,45,100,Medium,0.0,0.43333333333333335
4,2,daheng_6mm,35,50,0,45,100,Small,0.0,0.5333333333333333
4,3,daheng_6mm,35,50,0,45,100,Big,0.0,0.8
4,3,daheng_6mm,35,50,0,45,100,Medium,0.0,1.0
4,3,daheng_6mm,35,50,0,45,100,Small,0.0,0.8
0,0,daheng_6mm,35,50,0,60,100,Big,0.8666666666666667,0.5333333333333333
0,0,daheng_6mm,35,50,0,60,100,Medium,0.6,0.0
0,0,daheng_6mm,35,50,0,60,100,Small,0.8333333333333334,0.0
0,1,daheng_6mm,35,50,0,60,100,Big,1.0,1.0
0,1,daheng_6mm,35,50,0,60,100,Medium,0.9666666666666667,1.0
0,1,daheng_6mm,35,50,0,60,100,Small,0.0,0.0
0,2,daheng_6mm,35,50,0,60,100,Big,0.0,1.0
0,2,daheng_6mm,35,50,0,60,100,Medium,0.0,1.0
0,2,daheng_6mm,35,50,0,60,100,Small,0.0,0.0
0,3,daheng_6mm,35,50,0,60,100,Big,1.0,1.0
0,3,daheng_6mm,35,50,0,60,100,Medium,1.0,1.0
0,3,daheng_6mm,35,50,0,60,100,Small,0.0,0.0
1,0,daheng_6mm,35,50,0,60,100,Big,1.0,0.1
1,0,daheng_6mm,35,50,0,60,100,Medium,0.13333333333333333,0.4
1,0,daheng_6mm,35,50,0,60,100,Small,0.0,0.0
1,1,daheng_6mm,35,50,0,60,100,Big,1.0,1.0
1,1,daheng_6mm,35,50,0,60,100,Medium,0.8,0.7
1,1,daheng_6mm,35,50,0,60,100,Small,0.0,0.0
1,2,daheng_6mm,35,50,0,60,100,Big,0.0,1.0
1,2,daheng_6mm,35,50,0,60,100,Medium,0.0,1.0
1,2,daheng_6mm,35,50,0,60,100,Small,0.0,0.0
1,3,daheng_6mm,35,50,0,60,100,Big,1.0,1.0
1,3,daheng_6mm,35,50,0,60,100,Medium,0.7,1.0
1,3,daheng_6mm,35,50,0,60,100,Small,0.0,0.0
2,0,daheng_6mm,35,50,0,60,100,Big,0.9,0.5333333333333333
2,0,daheng_6mm,35,50,0,60,100,Medium,0.4666666666666667,0.06666666666666667
2,0,daheng_6mm,35,50,0,60,100,Small,0.5,0.0
2,1,daheng_6mm,35,50,0,60,100,Big,1.0,1.0
2,1,daheng_6mm,35,50,0,60,100,Medium,0.8333333333333334,0.9666666666666667
2,1,daheng_6mm,35,50,0,60,100,Small,0.0,0.0
2,2,daheng_6mm,35,50,0,60,100,Big,0.0,1.0
2,2,daheng_6mm,35,50,0,60,100,Medium,0.0,0.9666666666666667
2,2,daheng_6mm,35,50,0,60,100,Small,0.0,0.0
2,3,daheng_6mm,35,50,0,60,100,Big,1.0,1.0
2,3,daheng_6mm,35,50,0,60,100,Medium,0.9,1.0
2,3,daheng_6mm,35,50,0,60,100,Small,0.0,0.0
4,0,daheng_6mm,35,50,0,60,100,Big,0.0,0.0
4,0,daheng_6mm,35,50,0,60,100,Medium,0.0,0.0
4,0,daheng_6mm,35,50,0,60,100,Small,0.0,0.0
4,1,daheng_6mm,35,50,0,60,100,Big,0.06666666666666667,0.5666666666666667
4,1,daheng_6mm,35,50,0,60,100,Medium,0.3,0.4666666666666667
4,1,daheng_6mm,35,50,0,60,100,Small,0.13333333333333333,0.03333333333333333
4,2,daheng_6mm,35,50,0,60,100,Big,0.0,0.5
4,2,daheng_6mm,35,50,0,60,100,Medium,0.0,0.9333333333333333
4,2,daheng_6mm,35,50,0,60,100,Small,0.0,0.26666666666666666
4,3,daheng_6mm,35,50,0,60,100,Big,0.0,0.4666666666666667
4,3,daheng_6mm,35,50,0,60,100,Medium,0.0,1.0
4,3,daheng_6mm,35,50,0,60,100,Small,0.0,0.3333333333333333
0,0,daheng_6mm,35,50,45,0,100,Big,1.0,1.0
0,0,daheng_6mm,35,50,45,0,100,Medium,1.0,1.0
0,0,daheng_6mm,35,50,45,0,100,Small,0.7666666666666667,0.43333333333333335
0,1,daheng_6mm,35,50,45,0,100,Big,1.0,1.0
0,1,daheng_6mm,35,50,45,0,100,Medium,1.0,1.0
0,1,daheng_6mm,35,50,45,0,100,Small,0.0,0.0
0,2,daheng_6mm,35,50,45,0,100,Big,0.0,1.0
0,2,daheng_6mm,35,50,45,0,100,Medium,0.0,1.0
0,2,daheng_6mm,35,50,45,0,100,Small,0.0,0.0
0,3,daheng_6mm,35,50,45,0,100,Big,1.0,1.0
0,3,daheng_6mm,35,50,45,0,100,Medium,0.9666666666666667,1.0
0,3,daheng_6mm,35,50,45,0,100,Small,0.0,0.0
1,0,daheng_6mm,35,50,45,0,100,Big,1.0,1.0
1,0,daheng_6mm,35,50,45,0,100,Medium,1.0,1.0
1,0,daheng_6mm,35,50,45,0,100,Small,0.9666666666666667,0.06666666666666667
1,1,daheng_6mm,35,50,45,0,100,Big,1.0,1.0
1,1,daheng_6mm,35,50,45,0,100,Medium,1.0,1.0
1,1,daheng_6mm,35,50,45,0,100,Small,0.0,0.0
1,2,daheng_6mm,35,50,45,0,100,Big,0.0,1.0
1,2,daheng_6mm,35,50,45,0,100,Medium,0.0,1.0
1,2,daheng_6mm,35,50,45,0,100,Small,0.0,0.4666666666666667
1,3,daheng_6mm,35,50,45,0,100,Big,1.0,1.0
1,3,daheng_6mm,35,50,45,0,100,Medium,1.0,1.0
1,3,daheng_6mm,35,50,45,0,100,Small,0.3,0.9
2,0,daheng_6mm,35,50,45,0,100,Big,1.0,1.0
2,0,daheng_6mm,35,50,45,0,100,Medium,1.0,0.9666666666666667
2,0,daheng_6mm,35,50,45,0,100,Small,0.6,0.03333333333333333
2,1,daheng_6mm,35,50,45,0,100,Big,1.0,1.0
2,1,daheng_6mm,35,50,45,0,100,Medium,1.0,1.0
2,1,daheng_6mm,35,50,45,0,100,Small,0.0,0.0
2,2,daheng_6mm,35,50,45,0,100,Big,0.0,1.0
2,2,daheng_6mm,35,50,45,0,100,Medium,0.0,1.0
2,2,daheng_6mm,35,50,45,0,100,Small,0.0,0.0
2,3,daheng_6mm,35,50,45,0,100,Big,0.9,1.0
2,3,daheng_6mm,35,50,45,0,100,Medium,1.0,1.0
2,3,daheng_6mm,35,50,45,0,100,Small,0.3333333333333333,0.3
4,0,daheng_6mm,35,50,45,0,100,Big,0.0,0.6666666666666666
4,0,daheng_6mm,35,50,45,0,100,Medium,0.36666666666666664,0.6666666666666666
4,0,daheng_6mm,35,50,45,0,100,Small,0.0,0.0
4,1,daheng_6mm,35,50,45,0,100,Big,0.8333333333333334,1.0
4,1,daheng_6mm,35,50,45,0,100,Medium,0.36666666666666664,0.9333333333333333
4,1,daheng_6mm,35,50,45,0,100,Small,0.0,0.0
4,2,daheng_6mm,35,50,45,0,100,Big,0.0,0.5333333333333333
4,2,daheng_6mm,35,50,45,0,100,Medium,0.0,0.0
4,2,daheng_6mm,35,50,45,0,100,Small,0.0,0.0
4,3,daheng_6mm,35,50,45,0,100,Big,0.0,1.0
4,3,daheng_6mm,35,50,45,0,100,Medium,0.0,1.0
4,3,daheng_6mm,35,50,45,0,100,Small,0.0,0.0
0,0,daheng_6mm,35,50,45,45,100,Big,0.26666666666666666,0.03333333333333333
0,0,daheng_6mm,35,50,45,45,100,Medium,0.0,0.0
0,0,daheng_6mm,35,50,45,45,100,Small,0.0,0.0
0,1,daheng_6mm,35,50,45,45,100,Big,0.0,0.0
0,1,daheng_6mm,35,50,45,45,100,Medium,0.0,0.0
0,1,daheng_6mm,35,50,45,45,100,Small,0.0,0.0
0,2,daheng_6mm,35,50,45,45,100,Big,0.0,0.0
0,2,daheng_6mm,35,50,45,45,100,Medium,0.0,0.0
0,2,daheng_6mm,35,50,45,45,100,Small,0.0,0.0
0,3,daheng_6mm,35,50,45,45,100,Big,0.0,0.0
0,3,daheng_6mm,35,50,45,45,100,Medium,0.0,0.0
0,3,daheng_6mm,35,50,45,45,100,Small,0.0,0.0
1,0,daheng_6mm,35,50,45,45,100,Big,0.5,0.03333333333333333
1,0,daheng_6mm,35,50,45,45,100,Medium,0.0,0.0
1,0,daheng_6mm,35,50,45,45,100,Small,0.0,0.0
1,1,daheng_6mm,35,50,45,45,100,Big,0.0,0.0
1,1,daheng_6mm,35,50,45,45,100,Medium,0.0,0.0
1,1,daheng_6mm,35,50,45,45,100,Small,0.0,0.0
1,2,daheng_6mm,35,50,45,45,100,Big,0.0,0.0
1,2,daheng_6mm,35,50,45,45,100,Medium,0.0,0.0
1,2,daheng_6mm,35,50,45,45,100,Small,0.0,0.0
1,3,daheng_6mm,35,50,45,45,100,Big,0.1,0.3333333333333333
1,3,daheng_6mm,35,50,45,45,100,Medium,0.0,0.0
1,3,daheng_6mm,35,50,45,45,100,Small,0.0,0.0
2,0,daheng_6mm,35,50,45,45,100,Big,0.0,0.0
2,0,daheng_6mm,35,50,45,45,100,Medium,0.0,0.0
2,0,daheng_6mm,35,50,45,45,100,Small,0.0,0.0
2,1,daheng_6mm,35,50,45,45,100,Big,0.0,0.0
2,1,daheng_6mm,35,50,45,45,100,Medium,0.0,0.0
2,1,daheng_6mm,35,50,45,45,100,Small,0.0,0.0
2,2,daheng_6mm,35,50,45,45,100,Big,0.0,0.0
2,2,daheng_6mm,35,50,45,45,100,Medium,0.0,0.0
2,2,daheng_6mm,35,50,45,45,100,Small,0.0,0.0
2,3,daheng_6mm,35,50,45,45,100,Big,0.03333333333333333,0.3333333333333333
2,3,daheng_6mm,35,50,45,45,100,Medium,0.0,0.0
2,3,daheng_6mm,35,50,45,45,100,Small,0.0,0.0
4,0,daheng_6mm,35,50,45,45,100,Big,0.0,0.7
4,0,daheng_6mm,35,50,45,45,100,Medium,0.0,0.0
4,0,daheng_6mm,35,50,45,45,100,Small,0.0,0.0
4,1,daheng_6mm,35,50,45,45,100,Big,0.0,0.8333333333333334
4,1,daheng_6mm,35,50,45,45,100,Medium,0.0,0.0
4,1,daheng_6mm,35,50,45,45,100,Small,0.0,0.0
4,2,daheng_6mm,35,50,45,45,100,Big,0.0,0.9666666666666667
4,2,daheng_6mm,35,50,45,45,100,Medium,0.0,0.0
4,2,daheng_6mm,35,50,45,45,100,Small,0.0,0.0
4,3,daheng_6mm,35,50,45,45,100,Big,0.0,0.03333333333333333
4,3,daheng_6mm,35,50,45,45,100,Medium,0.0,0.0
4,3,daheng_6mm,35,50,45,45,100,Small,0.0,0.0
0,0,daheng_6mm,35,50,45,60,100,Big,0.9666666666666667,0.9333333333333333
0,0,daheng_6mm,35,50,45,60,100,Medium,1.0,0.06666666666666667
0,0,daheng_6mm,35,50,45,60,100,Small,0.4,0.0
0,1,daheng_6mm,35,50,45,60,100,Big,1.0,1.0
0,1,daheng_6mm,35,50,45,60,100,Medium,0.6666666666666666,0.4666666666666667
0,1,daheng_6mm,35,50,45,60,100,Small,0.0,0.0
0,2,daheng_6mm,35,50,45,60,100,Big,0.0,0.7
0,2,daheng_6mm,35,50,45,60,100,Medium,0.0,0.0
0,2,daheng_6mm,35,50,45,60,100,Small,0.0,0.0
0,3,daheng_6mm,35,50,45,60,100,Big,1.0,1.0
0,3,daheng_6mm,35,50,45,60,100,Medium,0.9333333333333333,0.9666666666666667
0,3,daheng_6mm,35,50,45,60,100,Small,0.03333333333333333,0.0
1,0,daheng_6mm,35,50,45,60,100,Big,1.0,1.0
1,0,daheng_6mm,35,50,45,60,100,Medium,1.0,0.8333333333333334
1,0,daheng_6mm,35,50,45,60,100,Small,0.23333333333333334,0.0
1,1,daheng_6mm,35,50,45,60,100,Big,1.0,1.0
1,1,daheng_6mm,35,50,45,60,100,Medium,1.0,1.0
1,1,daheng_6mm,35,50,45,60,100,Small,0.0,0.0
1,2,daheng_6mm,35,50,45,60,100,Big,0.0,1.0
1,2,daheng_6mm,35,50,45,60,100,Medium,0.0,0.0
1,2,daheng_6mm,35,50,45,60,100,Small,0.0,0.0
1,3,daheng_6mm,35,50,45,60,100,Big,1.0,1.0
1,3,daheng_6mm,35,50,45,60,100,Medium,1.0,1.0
1,3,daheng_6mm,35,50,45,60,100,Small,0.0,0.03333333333333333
2,0,daheng_6mm,35,50,45,60,100,Big,1.0,0.9333333333333333
